problem_type,problem_number,instance,cost,dist,time,events,skipped
TWh_R,8,7,10101374.21,1374.21,63.74,102,86
TWr_R,1,3,30301278.26,1278.26,56.53,112,97
TWr_C,2,4,10101179.85,1179.85,19.30,93,82
TWh_C,1,6,1388.80,1388.80,186.98,92,79
TWh_RC,1,2,1177.50,1177.50,57.40,99,86
TWdf_RC,5,6,10103037.82,3037.82,8.20,151,117
TWdf_C,8,7,20202137.41,2137.41,8.22,167,142
TWr_RC,3,10,10101627.17,1627.17,68.87,96,81
TWh_RC,9,2,1360.31,1360.31,40.07,91,80
TWh_C,5,1,30301196.57,1196.57,37.40,87,74
TWh_R,2,9,20201180.00,1180.00,29.61,90,77
TWdf_RC,3,7,10102615.22,2615.22,7.79,181,152
TWdf_RC,5,3,20202812.26,2812.26,8.55,176,143
TWh_RC,1,7,30301314.00,1314.00,41.88,85,72
TWr_C,2,8,10101242.14,1242.14,20.34,110,99
TWdf_C,7,10,10101842.95,1842.95,6.56,134,111
TWdf_C,1,8,20202310.40,2310.40,10.98,208,180
TWh_C,4,3,20201524.98,1524.98,55.19,97,81
TWh_R,2,5,40401620.00,1620.00,24.85,118,103
TWh_RC,4,4,30301393.38,1393.38,44.56,107,90
TWh_RC,8,8,50501537.50,1537.50,32.63,125,113
TWh_RC,9,10,1100.16,1100.16,24.05,78,67
TWr_RC,8,8,20201340.42,1340.42,27.94,97,84
TWh_RC,5,10,20201474.38,1474.38,38.04,105,90
TWdf_RC,7,7,10102772.60,2772.60,8.90,169,138
TWh_C,4,7,30301387.98,1387.98,33.90,103,88
TWh_R,6,10,30301318.15,1318.15,64.31,117,101
TWh_R,3,7,30301214.76,1214.76,33.83,104,93
TWdf_C,2,4,10101901.68,1901.68,6.55,128,102
TWh_RC,8,6,10101087.50,1087.50,42.94,98,86
TWh_C,3,1,10101196.47,1196.47,37.51,70,60
TWr_R,2,9,20201367.62,1367.62,30.83,88,76
TWr_R,5,3,1047.13,1047.13,60.61,80,69
TWr_RC,5,1,30301768.37,1768.37,47.52,83,71
TWh_RC,2,2,1109.54,1109.54,16.62,84,74
TWh_C,6,6,10101262.81,1262.81,28.22,97,81
TWh_R,8,6,1259.59,1259.59,44.76,85,75
TWh_RC,4,2,20201407.19,1407.19,55.24,102,89
TWdf_R,2,7,10102173.33,2173.33,3.77,124,98
TWr_RC,2,1,20200966.46,966.46,30.84,76,65
TWdf_R,9,3,10102633.92,2633.92,7.19,160,133
TWdf_RC,1,3,2089.50,2089.50,4.39,137,112
TWr_R,1,5,10101384.35,1384.35,34.93,108,96
TWh_C,2,8,10101179.85,1179.85,18.40,89,82
TWr_C,4,6,20201330.82,1330.82,29.61,94,81
TWh_C,3,10,50501973.65,1973.65,174.16,112,96
TWh_R,2,1,20201372.38,1372.38,29.94,92,77
TWdf_R,1,6,2480.00,2480.00,11.38,162,132
TWh_C,6,9,20201349.06,1349.06,69.43,94,80
TWdf_C,3,5,30302991.53,2991.53,8.09,170,136
TWh_RC,5,8,40401531.46,1531.46,89.34,85,74
TWdf_RC,3,9,10102215.43,2215.43,6.00,137,112
TWdf_R,1,8,1605.22,1605.22,7.74,145,119
TWr_RC,4,2,20201290.22,1290.22,46.23,84,72
TWr_C,2,5,10101230.23,1230.23,27.94,99,85
TWh_C,4,9,20201670.21,1670.21,122.11,127,115
TWr_R,8,7,30301599.31,1599.31,37.16,107,88
TWr_RC,3,1,10101263.26,1263.26,22.13,111,98
TWh_RC,9,9,1376.69,1376.69,37.98,113,97
TWdf_RC,4,5,10102324.03,2324.03,6.86,152,124
TWdf_R,2,9,20202077.14,2077.14,5.43,130,101
TWh_C,7,7,10101285.23,1285.23,43.84,108,91
